image_id,street,citi,n_citi,bed,bath,sqft,price,house_cat
54,1456 BRADFORD Avenue,Rosamond,312,3,2,1484,255000,basic
55,2737 Hempstead Lane,Bakersfield,24,3,2,1499,233000,basic
56,7741 Columbine Avenue,California City,57,3,2,1422,195000,basic
57,1822 Matterhorn Drive,Pine Mountain Club,282,3,2,1152,238000,basic
58,8901 Eucalyptus Avenue,California City,57,3,2,1774,230000,basic
59,2805 Klondike Way,Pine Mountain Club,282,3,2,1584,219000,basic
60,1748 Linden Drive,Pine Mountain Club,282,4,2,1368,239900,basic
61,6702 Windpiper Lane,Bakersfield,24,3,2,1268,234900,basic
62,24440 Jacaranda Drive,Tehachapi,367,4,2,1888,255000,basic
63,9347 Columbine Avenue,California City,57,3,2,1877,199000,basic
64,2317 Glacier Drive,Frazier Park,122,3,2,1290,237500,basic
65,14228 Yellowstone Drive,Pine Mountain Club,282,2,2,949,209750,basic
66,21451 Santa Maria Drive,Tehachapi,367,3,2,1402,239000,basic
67,4613 Chaney Lane,Bakersfield,24,3,2,1242,200000,basic
68,19701 Pine Ridge Drive,Tehachapi,367,3,3,2354,249000,basic
69,1826 Zermatt Drive,Pine Mountain Club,282,3,2,1426,249000,basic
70,21040 94th Street,California City,57,4,2,1775,195000,basic
71,1801 Poplar Way,Pine Mountain Club,282,3,2,952,199000,basic
72,417 Washington Avenue,Bakersfield,24,5,2,1953,235000,basic
73,1121 Dawn Street,Bakersfield,24,3,2,1527,209900,basic
74,1416 Sweetgum Avenue,Rosamond,312,2,2,956,213900,basic
75,2050 Woodland Drive,Pine Mountain Club,282,3,2,1542,220000,basic
76,9316 Carvalho Court,Bakersfield,24,3,2,1411,250000,basic
77,6409 Sundale Avenue,Bakersfield,24,3,2,1448,230000,basic
78,4001 Los Padres Drive,Frazier Park,122,2,2,1536,245000,basic
79,5495 Avenue 54,Bakersfield,24,2,1,991,219900,basic
80,9501 Redwood Boulevard,California City,57,3,2,1400,249000,basic
81,1801 Freeman Drive,Frazier Park,122,3,2,1380,249900,basic
82,2213 Zermatt Drive,Pine Mountain Club,282,2,1,783,195000,basic
83,96697 Pinon Village Road,Inyokern,156,2,1,1100,230000,basic
84,9609 Susan Avenue,California City,57,3,2,1729,210000,basic
85,21741 Electra Court,California City,57,3,2,1945,199950,basic
86,2223 Bernina Drive,Pine Mountain Club,282,4,2,1632,239000,basic
87,2312 Dom Court,Pine Mountain Club,282,3,2,1792,299000,basic
88,226 Spruce Street,Tehachapi,367,4,2,1967,249950,basic
89,2818 Trakell Street,Rosamond,312,3,2,1433,260000,basic
90,206 Cummings Valley Boulevard,Tehachapi,367,3,2,2435,284900,basic
91,9225 Rea Avenue,California City,57,5,3,2065,249000,basic
92,3200 Pesante Road,Bakersfield,24,3,2,1838,265000,basic
93,1509 Silk Tree,Bakersfield,24,3,2,1683,290000,basic
94,3411 Dakota Street,Rosamond,312,5,2,1837,260000,basic
95,3319 Garnet Avenue,Rosamond,312,3,2,1630,259900,basic
96,6788 Lakeview Drive,Frazier Park,122,3,2,1198,280000,basic
97,19700 Breeze Place,Tehachapi,367,3,2,1512,274999,basic
98,10017 Laurie Avenue,Bakersfield,24,3,2,1515,275000,basic
99,9825 Karen Ave,California City,57,4,2,1996,269669,basic
100,11801 Pasture Avenue,Tehachapi,367,4,3,3648,249000,basic
101,9721 Manhattan Drive,Bakersfield,24,3,2,1316,275000,basic
102,8315 Hemlock Court,Bakersfield,24,3,2,1608,250000,basic
103,3808 Whirlwind Drive,Bakersfield,24,5,2,2228,299000,basic
104,2310 St Bernard Drive,Pine Mountain Club,282,3,2,1800,270000,basic
105,608 Poinsettia Avenue,Rosamond,312,3,2,1425,255000,basic
106,20844 Village,California City,57,4,3,1991,265000,basic
107,3412 Whisper Sands Avenue,Rosamond,312,3,2,1735,295000,basic
108,13631 Foyers Fall Dr,Bakersfield,24,4,2,1639,295000,basic
109,2822 Dixie Street,Rosamond,312,3,2,1500,245000,basic
110,15505 Nesthorn Way,Pine Mountain Club,282,2,2,1137,259000,basic
111,1665 E Balboa Avenue,Mojave,220,6,5,2352,300000,basic
112,9840 Margery Avenue,California City,57,3,2,2400,258000,basic
113,4048 Summit Drive,Frazier Park,122,3,3,1526,275000,basic
114,3142 Carnation St.,Rosamond,312,3,2,1687,260000,basic
115,3321 Santa Clara Trail,Frazier Park,122,3,2,1558,295000,basic
116,2309 Symonds Drive,Pine Mountain Club,282,2,2,1378,249000,basic
117,2600 Westland Drive,Rosamond,312,3,2,1473,269900,basic
118,6614 Clear Water Creek Way,Bakersfield,24,4,3,1982,299900,basic
119,904 Yosemite Drive,Lebec,196,3,2,1800,259000,basic
120,21410 Brook Drive,Tehachapi,367,3,2,1320,249000,basic
121,4213 Spruce,Frazier Park,122,3,2,1665,289000,basic
122,1456 BRADFORD Avenue,Rosamond,312,3,2,1484,255000,basic
123,27509 Prospect Street,Boron,45,3,2,1800,299000,basic
124,2516 Arbor Drive,Frazier Park,122,3,2,2176,260000,basic
125,2101 Freeman Drive,Frazier Park,122,3,3,1376,269900,basic
126,24440 Jacaranda Drive,Tehachapi,367,4,2,1888,255000,basic
127,1604 Banff,Pine Mountain Club,282,3,3,1293,279000,basic
128,604 Canyon Drive,Lebec,196,3,3,2479,299500,basic
129,1425 Zion Way,Pine Mountain Club,282,4,2,1579,279000,basic
130,19701 Pine Ridge Drive,Tehachapi,367,3,3,2354,249000,basic
131,1826 Zermatt Drive,Pine Mountain Club,282,3,2,1426,249000,basic
132,1425 Dogwood,Pine Mountain Club,282,2,2,1520,265000,basic
133,16800 Aleutian Drive,Pine Mountain Club,282,3,2,1920,275000,basic
134,4100 N End Drive,Frazier Park,122,3,2,1836,274900,basic
135,1620 Bernina Drive,Pine Mountain Club,282,3,2,1688,274960,basic
136,9316 Carvalho Court,Bakersfield,24,3,2,1411,250000,basic
137,126 Pinon Street,Frazier Park,122,4,2,1897,285000,basic
138,2604 Basel Court,Pine Mountain Club,282,2,2,1733,278300,basic
139,4001 Los Padres Drive,Frazier Park,122,2,2,1536,245000,basic
140,1812 Poplar Way,Pine Mountain Club,282,3,2,1712,285000,basic
141,9501 Redwood Boulevard,California City,57,3,2,1400,249000,basic
142,2624 Basel Court,Pine Mountain Club,282,3,2,1459,299000,basic
143,1801 Freeman Drive,Frazier Park,122,3,2,1380,249900,basic
144,2325 Cypress Way,Pine Mountain Club,282,3,2,1728,299000,basic
145,20121 Airway Boulevard,California City,57,3,3,2571,275000,basic
146,2300 Askin Court,Pine Mountain Club,282,4,3,2300,299000,basic
147,14920 Geneva Court,Pine Mountain Club,282,3,2,1344,279000,basic
148,1612 Zermatt Drive,Pine Mountain Club,282,3,2,1536,278888,basic
149,24575 Sarida Avenue,Tehachapi,367,3,1,1368,300000,basic
150,2312 Dom Court,Pine Mountain Club,282,3,2,1792,299000,basic
151,5315 Mountain Plover Avenue,Bakersfield,24,3,2,2011,339900,basic
152,2336 Newberry Street,Rosamond,312,5,3,2557,344500,basic
153,29201 N Lower Valley Road,Tehachapi,367,4,2,1703,315000,basic
154,1601 Woodland Drive,Pine Mountain Club,282,3,2,1615,329900,basic
155,27720 Oakflat Drive,Tehachapi,367,3,3,1656,355000,basic
156,4205 Marella Way,Bakersfield,24,4,3,2792,325000,basic
157,3433 Summer Breeze Avenue,Rosamond,312,4,2,1831,319900,basic
158,901 Eagle Lane,Frazier Park,122,4,2,2216,349000,basic
159,22816 Yeager Court,Tehachapi,367,3,2,1685,339000,basic
160,6725 Paper Birch Lane,Bakersfield,24,4,2,1838,315000,basic
161,4017 Aero Way,Rosamond,312,4,3,1689,315000,basic
162,11104 Cypress Falls Ave,Bakersfield,24,4,2,2043,335000,basic
163,8043 Mojave-Tropico,Mojave,220,3,2,2112,330000,basic
164,3808 Whirlwind Drive,Bakersfield,24,5,2,2228,299000,basic
165,1167 Alder Avenue,Tehachapi,367,3,2,1833,340000,basic
166,3445 Quiet Splendor Court,Rosamond,312,4,2,2498,349990,basic
167,3412 Whisper Sands Avenue,Rosamond,312,3,2,1735,295000,basic
168,13631 Foyers Fall Dr,Bakersfield,24,4,2,1639,295000,basic
169,29851 Starland,Tehachapi,367,3,2,1954,309900,basic
170,2411 Crimson Avenue,Rosamond,312,5,3,2637,350000,basic
171,10240 Redwood Boulevard,California City,57,5,4,2631,311000,basic
172,2894 Delmar Avenue,Mojave,220,3,2,1622,319000,basic
173,1665 E Balboa Avenue,Mojave,220,6,5,2352,300000,basic
174,19225 Jacks Hill Road,Stallion Springs,357,4,2,2302,344900,basic
175,1301 Princeton,Bakersfield,24,3,3,2639,329999,basic
176,1700 Bernina Drive,Pine Mountain Club,282,3,1,2304,329900,basic
177,1309 Woodland Drive,Pine Mountain Club,282,3,2,1640,335000,basic
178,3321 Santa Clara Trail,Frazier Park,122,3,2,1558,295000,basic
179,6614 Clear Water Creek Way,Bakersfield,24,4,3,1982,299900,basic
180,29500 Butterfield Way,Tehachapi,367,3,2,1883,329000,basic
181,27509 Prospect Street,Boron,45,3,2,1800,299000,basic
182,431 Butler Road,Bakersfield,24,5,4,3865,349900,basic
183,3540 Gold Crest Lane,Rosamond,312,4,3,1987,316900,basic
184,612 Dennison Lane,Bakersfield,24,3,2,2248,336800,basic
185,5310 Fountain Grass Avenue,Bakersfield,24,5,3,2972,349000,basic
186,22321 Briarwood Street,Tehachapi,367,4,2,1962,329999,basic
187,9216 Whispering Pines Road,Frazier Park,122,4,2,1856,328000,basic
188,26990 Owl Court,Tehachapi,367,4,2,2065,317000,basic
189,604 Canyon Drive,Lebec,196,3,3,2479,299500,basic
190,2321 Zermatt,Pine Mountain Club,282,3,2,2072,338000,basic
191,2222 Gimmewald Place,Pine Mountain Club,282,2,1,852,350000,basic
192,1408 Banff Drive,Pine Mountain Club,282,3,2,2380,349000,basic
193,1013 Laura Lane,Tehachapi,367,5,3,2725,345000,basic
194,2624 Basel Court,Pine Mountain Club,282,3,2,1459,299000,basic
195,9950 Karen Avenue,California City,57,3,2,2214,314900,basic
196,2325 Cypress Way,Pine Mountain Club,282,3,2,1728,299000,basic
197,1241 N Mayflower Circle,Ridgecrest,308,6,4,2608,339900,basic
198,9705 Bossa Nova Court,Bakersfield,24,3,2,1840,324999,basic
199,18611 Mustang Drive,Tehachapi,367,3,2,3046,349000,basic
200,2300 Askin Court,Pine Mountain Club,282,4,3,2300,299000,basic
201,2312 Ironwood,Pine Mountain Club,282,4,3,1680,329000,basic
202,24575 Sarida Avenue,Tehachapi,367,3,1,1368,300000,basic
203,3212 Tumble Weed Avenue,Rosamond,312,4,2,2700,360000,basic
204,1804 St Anton Drive,Pine Mountain Club,282,3,2,1958,398500,basic
205,3068 Lebec Oaks Rd,Lebec,196,2,2,1644,369000,basic
206,28840 Gleneagle Court,Tehachapi,367,3,3,2052,365000,basic
207,27720 Oakflat Drive,Tehachapi,367,3,3,1656,355000,basic
208,12407 Gila River Drive,Bakersfield,24,3,2,2296,388000,basic
209,901 Eagle Lane,Frazier Park,122,4,2,2216,349000,basic
210,7303 Glitter Way,Bakersfield,24,4,3,3249,399000,basic
211,12102 Rodeo Ave,Bakersfield,24,5,3,3188,399900,basic
212,2208 Zermatt Drive,Pine Mountain Club,282,4,4,2523,375888,basic
213,2037 Woodland Drive,Pine Mountain Club,282,3,2,1837,357000,basic
214,181 Panorama Drive,Kernville,164,3,2,2125,389900,basic
215,3445 Quiet Splendor Court,Rosamond,312,4,2,2498,349990,basic
216,29580 Butterfield Way,Tehachapi,367,3,2,2325,369900,basic
217,2411 Crimson Avenue,Rosamond,312,5,3,2637,350000,basic
218,29442 Fawn Way,Tehachapi,367,4,2,2252,388950,basic
219,2301 Woodland Drive,Pine Mountain Club,282,3,2,2000,399000,basic
220,11409 Revolution Road,Bakersfield,24,5,3,2527,359900,basic
221,19072 Pine Summit Court,Tehachapi,367,3,2,1762,365000,basic
222,14013 Yellowstone Drive,Frazier Park,122,4,4,2900,359000,basic
223,2987 Lebec Oaks Road,Lebec,196,3,2,2287,369963,basic
224,14417 Yosemite Court,Frazier Park,122,4,3,2546,379900,basic
225,1114 Snowline Drive,Frazier Park,122,3,3,2075,399000,basic
226,431 Butler Road,Bakersfield,24,5,4,3865,349900,basic
227,5310 Fountain Grass Avenue,Bakersfield,24,5,3,2972,349000,basic
228,24550 Hart Drive,Tehachapi,367,4,2,2372,374000,basic
229,1401 60th Street W,Rosamond,312,5,3,2760,375000,basic
230,15448 Shasta Way,Pine Mountain Club,282,3,2,2230,369900,basic
231,28037 wyly Court,Keene,163,2,2,1104,395000,basic
232,16501 Grizzly Drive,Pine Mountain Club,282,4,3,2570,369900,basic
233,6926 Panama Road,Bakersfield,24,4,3,3071,395000,basic
234,16509 Oakwood Way,Bakersfield,24,4,3,2592,379900,basic
235,10009 Barnes Drive,Bakersfield,24,4,3,2368,399990,basic
236,2222 Gimmewald Place,Pine Mountain Club,282,2,1,852,350000,basic
237,1408 Banff Drive,Pine Mountain Club,282,3,2,2380,349000,basic
238,1013 Laura Lane,Tehachapi,367,5,3,2725,345000,basic
239,14332 Voltaire Drive,Pine Mountain Club,282,3,2,2196,356900,basic
240,2041 St Bernard Drive,Frazier Park,122,3,3,2389,389000,basic
241,4321 Logan Trail,Frazier Park,122,4,3,2746,379000,basic
242,18611 Mustang Drive,Tehachapi,367,3,2,3046,349000,basic
243,15623 K Street,Mojave,220,4,4,1687,400000,basic
244,1804 St Anton Drive,Pine Mountain Club,282,3,2,1958,398500,basic
245,28721 Delaware Place,Tehachapi,367,3,2,2753,439000,basic
246,49820 Gorman Post Road,Gorman,129,3,3,2503,449000,intermediate
247,7303 Glitter Way,Bakersfield,24,4,3,3249,399000,basic
248,7001 Creemore Street,Bakersfield,24,4,3,3578,449900,intermediate
249,12102 Rodeo Ave,Bakersfield,24,5,3,3188,399900,basic
250,11317 Silver Crown Avenue,Bakersfield,24,4,2,2496,419000,basic
251,3416 Kansas,Frazier Park,122,3,2,2620,439000,basic
252,25408 Roost Avenue,Tehachapi,367,3,3,2265,429000,basic
253,2301 Woodland Drive,Pine Mountain Club,282,3,2,2000,399000,basic
254,2407 Sunrise Drive,Bakersfield,24,4,3,2475,425000,basic
255,1114 Snowline Drive,Frazier Park,122,3,3,2075,399000,basic
256,1421 Woodland Drive,Pine Mountain Club,282,3,3,1915,423000,basic
257,1720 Woodland Drive,Pine Mountain Club,282,3,2,2570,439000,basic
258,28037 wyly Court,Keene,163,2,2,1104,395000,basic
259,6926 Panama Road,Bakersfield,24,4,3,3071,395000,basic
260,10009 Barnes Drive,Bakersfield,24,4,3,2368,399990,basic
261,6982 Caliente Bodfish Road,Caliente,56,5,4,3538,450000,intermediate
262,24281 Bowen,Tehachapi,367,3,2,2638,424998,basic
263,2801 Arctic Drive,Pine Mountain Club,282,4,3,3744,445000,intermediate
264,2117 Cypress Way,Pine Mountain Club,282,4,4,5300,449000,intermediate
265,16725 Sequoia Way,Pine Mountain Club,282,4,3,2753,425000,basic
266,2436 Antelope Way,Pine Mountain Club,282,4,4,3855,425000,basic
267,15623 K Street,Mojave,220,4,4,1687,400000,basic
268,1700 Zion Way,Pine Mountain Club,282,4,2,2962,490000,intermediate
269,12101 Riverfront Park Drive,Bakersfield,24,4,2,3136,469000,intermediate
270,49820 Gorman Post Road,Gorman,129,3,3,2503,449000,intermediate
271,7001 Creemore Street,Bakersfield,24,4,3,3578,449900,intermediate
272,2709 Villalovos Court,Bakersfield,24,10,8,3784,475000,intermediate
273,8410 Exodus Lane,Bakersfield,24,4,3,2521,475000,intermediate
274,1217 Azalea Drive,Pine Mountain Club,282,3,2,2150,495500,intermediate
275,23601 Stacy Court,Tehachapi,367,5,2,3752,489000,intermediate
276,6982 Caliente Bodfish Road,Caliente,56,5,4,3538,450000,intermediate
277,2801 Arctic Drive,Pine Mountain Club,282,4,3,3744,445000,intermediate
278,2117 Cypress Way,Pine Mountain Club,282,4,4,5300,449000,intermediate
279,17820 Lockwood Valley Road,Frazier Park,122,3,2,1200,485000,intermediate
280,2532 Brentwood Place,Pine Mountain Club,282,5,3,3300,499000,intermediate
281,2513 Beechwood Way,Pine Mountain Club,282,3,3,2475,535000,intermediate
282,1217 Azalea Drive,Pine Mountain Club,282,3,2,2150,495500,intermediate
283,40171 Wilson Street,Caliente,56,3,2,2040,550000,intermediate
284,26640 Oakflat Drive,Tehachapi,367,3,2,3443,545000,intermediate
285,40171 Wilson Street,Caliente,56,3,2,2040,550000,intermediate
286,3379 50th Street W,Rosamond,312,6,5,3942,550000,intermediate
287,4609 Diamond Bay Drive,Arvin,20,4,3,2785,550000,intermediate
288,2405 Cedarwood Drive,Pine Mountain Club,282,5,4,5322,549000,intermediate
289,2921 Barrowby Street,Bakersfield,24,5,2,3103,550000,intermediate
290,24351 Deertrail Drive,Bear Valley Springs,28,4,3,3001,545000,intermediate
291,1766 Fir Drive,Wofford Heights,409,3,3,2466,524000,intermediate
292,2532 Brentwood Place,Pine Mountain Club,282,5,3,3300,499000,intermediate
293,40171 Wilson Street,Caliente,56,3,2,2040,550000,intermediate
294,26640 Oakflat Drive,Tehachapi,367,3,2,3443,545000,intermediate
295,40171 Wilson Street,Caliente,56,3,2,2040,550000,intermediate
296,3379 50th Street W,Rosamond,312,6,5,3942,550000,intermediate
297,4609 Diamond Bay Drive,Arvin,20,4,3,2785,550000,intermediate
298,2405 Cedarwood Drive,Pine Mountain Club,282,5,4,5322,549000,intermediate
299,2921 Barrowby Street,Bakersfield,24,5,2,3103,550000,intermediate
300,24351 Deertrail Drive,Bear Valley Springs,28,4,3,3001,545000,intermediate
301,13100 Franceschi Road,Caliente,56,2,1,1480,599000,intermediate
302,16200 Brimhall Road,Bakersfield,24,6,3,2730,649999,intermediate
303,4400 Country Club Drive,Bakersfield,24,4,3,3472,619999,intermediate
304,20005 Sasia Road,Tehachapi,367,4,3,4510,645000,intermediate
305,13100 Franceschi Road,Caliente,56,2,1,1480,599000,intermediate
306,16200 Brimhall Road,Bakersfield,24,6,3,2730,649999,intermediate
307,63 White Lane,Bakersfield,24,2,1,1092,699000,intermediate
308,5051 Creekside Dr Road,Arvin,20,4,4,4111,699000,intermediate
309,20005 Sasia Road,Tehachapi,367,4,3,4510,645000,intermediate
310,11436 Cuddy Valley Road,Frazier Park,122,4,2,3383,715000,intermediate
311,100492 Boggy Meadows Road,Inyokern,156,5,3,3000,750000,intermediate
312,2801 Sheltenham Way,Bakersfield,24,4,2,3221,747000,intermediate
313,22020 Stockdale,Bakersfield,24,5,4,5085,719000,intermediate
314,63 White Lane,Bakersfield,24,2,1,1092,699000,intermediate
315,5051 Creekside Dr Road,Arvin,20,4,4,4111,699000,intermediate
316,17625 Saddle Mountain Drive,Bakersfield,24,5,3,5832,799500,intermediate
317,100492 Boggy Meadows Road,Inyokern,156,5,3,3000,750000,intermediate
318,18360 Buckaroo Court,Bakersfield,24,4,2,2901,799000,intermediate
319,2801 Sheltenham Way,Bakersfield,24,4,2,3221,747000,intermediate
320,11717 Harrington Street,Bakersfield,24,5,4,4481,760000,intermediate
321,17625 Saddle Mountain Drive,Bakersfield,24,5,3,5832,799500,intermediate
322,18360 Buckaroo Court,Bakersfield,24,4,2,2901,799000,intermediate
323,8623 Deer Trail,Frazier Park,122,4,3,4390,829000,intermediate
324,14934 Henderson Avenue,Bakersfield,24,7,4,5082,949000,luxury
325,12869 Sierra Way,Kernville,164,3,2,2686,995000,luxury
326,4332 BEN Avenue,Studio City,360,3,2,2185,1095000,luxury
327,4321 BELLAIRE Avenue,Studio City,360,3,2,1671,1225000,luxury
328,1345 Selvas Place,Glendale,126,3,2,1635,1075000,luxury
329,4911 N Algoma,Eagle Rock,106,3,3,1980,1449700,luxury
330,28614 Mount Lassen Lane,Rancho Palos Verdes,301,4,2,2100,1049000,luxury
331,21745 ybarra Road,Woodland Hills,410,4,3,2568,1100000,luxury
332,121 S Bluff Road,Montebello,223,6,5,2625,1080000,luxury
333,8630 STANMOOR Drive,Los Angeles,207,2,2,1834,1395000,luxury
334,4709 Lindblade Drive,Culver City,94,3,3,1382,1229000,luxury
335,23230 Ladrillo Street,Woodland Hills,410,4,4,2308,1195000,luxury
336,7040 E Mezzanine Way,Long Beach,204,4,2,2055,1195000,luxury
337,20540 Gartel Drive,Walnut,395,4,4,3348,1033000,luxury
338,1917 S POINT VIEW Street,Los Angeles,207,3,2,2162,1299000,luxury
339,4030 W 60TH Street,Los Angeles,207,3,2,1970,1175000,luxury
340,1912 Saleroso Drive,Rowland Heights,315,4,3,3219,1038000,luxury
341,5353 Huntington Drive N,Los Angeles,207,2,1,1054,999999,luxury
342,4208 Tulane Avenue,Long Beach,204,5,4,3850,1423500,luxury
343,4835 Algoma Avenue,Los Angeles,207,3,2,1646,1079000,luxury
344,19800 Winged Foot Way,Porter Ranch,292,4,5,3923,1149000,luxury
345,21117 Placerita Canyon Road,Newhall,239,3,3,2176,1089000,luxury
346,19944 E Lorencita Drive,Covina,91,4,4,3212,1188000,luxury
347,725 NAVY Street,Santa Monica,337,2,1,1064,1450000,luxury
348,2815 Huntington Drive,San Marino,328,3,2,1509,1188000,luxury
349,20419 RUSTON Road,Woodland Hills,410,3,3,2338,1095000,luxury
350,611 N CURSON Avenue,Los Angeles,207,2,1,957,1499000,luxury
351,1163 S MUIRFIELD Road,Los Angeles,207,3,2,1623,1075000,luxury
352,30034 Torrepines Place,Agoura Hills,3,4,3,3003,1130000,luxury
353,25061 River Walk Lane,Stevenson Ranch,359,4,3,3193,1097000,luxury
354,4806 Commonwealth Avenue,La Canada Flintridge,165,3,2,1302,999999,luxury
355,300 E Magna Vista Avenue,Arcadia,16,4,3,2406,1348000,luxury
356,1380 Rexford Avenue,Pasadena,274,4,3,1874,1150000,luxury
357,818 Penn Street,El Segundo,112,2,1,1057,1400000,luxury
358,160 Club Road,Pasadena,274,4,3,3122,1499900,luxury
359,1211 N Los Robles Avenue,Pasadena,274,6,4,3145,1077500,luxury
360,18939 Westleigh Place,Rowland Heights,315,4,3,2866,1200000,luxury
361,21634 E Sleepy Hollow Court,Walnut,395,4,3,2484,1150000,luxury
362,10169 Rio Hondo,El Monte,111,6,3,3129,995900,luxury
363,23813 LADEENE Avenue,Torrance,376,4,2,1923,1095000,luxury
364,3800 Cherrywood Avenue,Los Angeles,207,3,2,1758,1200000,luxury
365,4425 SAINT CLAIR Avenue,Studio City,360,3,2,1250,1175000,luxury
366,2620 RUTHERFORD Drive,Los Angeles,207,2,2,1713,1329500,luxury
367,2321 LAKE VIEW Avenue,Los Angeles,207,3,2,1600,1199000,luxury
368,775 Havana Avenue,Long Beach,204,3,1,1883,1200000,luxury
369,1042 CORONADO Terrace,Los Angeles,207,2,2,1072,1099000,luxury
370,12047 ANETA Street,Culver City,94,2,1,1034,1050000,luxury
371,5228 SIERRA VILLA Drive,Los Angeles,207,3,2,1426,1198000,luxury
372,5724 Manton Avenue,Woodland Hills,410,3,2,2021,1275000,luxury
373,3274 Olive Avenue,Altadena,10,3,4,2937,1200000,luxury
374,10763 Charnock Road,Los Angeles,207,3,2,1293,1198900,luxury
375,163 Syracuse Walk,Long Beach,204,3,1,1432,1299000,luxury
376,20200 Ruston Road,Woodland Hills,410,4,2,2364,1050000,luxury
377,23056 Leonora Drive,Woodland Hills,410,3,4,2890,1475000,luxury
378,15529 LA MAIDA Street,Encino,114,3,2,1445,1150000,luxury
379,7332 PACIFIC VIEW Drive,Los Angeles,207,3,2,1400,1395000,luxury
380,9151 DINSDALE Street,Downey,103,4,5,4329,1400000,luxury
381,11260 REGENT Street,Los Angeles,207,3,2,1771,1195000,luxury
382,5356 OVERING Drive,Woodland Hills,410,4,5,2934,1249000,luxury
383,690 Rim Road Road,Pasadena,274,3,2,2569,1250000,luxury
384,5853 Flambeau Road,Rancho Palos Verdes,301,3,2,1612,1289000,luxury
385,434 Newport Avenue,Long Beach,204,7,6,3200,1450000,luxury
386,4401 Leydon Avenue,Woodland Hills,410,6,3,3070,1350000,luxury
387,5326 S MULLEN Avenue,Los Angeles,207,3,2,1677,1149000,luxury
